N	mean	var	loss	bw	B	MaxB	Silence	Bp	out
108	8.927117	0.129446	0.512442	4.358632	18	22	0.292969	45.468750	1
78	0.550564	0.054725	0.138131	0.484861	29	397	4.042969	15.468750	1
98	3.254756	0.192425	0.093314	2.956912	84	147	1.542969	35.468750	1
83	0.468571	0.052494	0.406019	0.283330	150	334	3.417969	10.468750	1
103	3.921830	0.183408	0.323864	2.580888	79	84	0.917969	30.468750	1
73	0.673065	0.074763	0.002407	0.729905	91	459	4.667969	20.468750	0
93	2.883118	0.203142	0.000000	3.451707	146	209	2.167969	40.468750	0
102	1.936926	0.137661	0.152094	1.654208	7	69	1.699219	21.718750	1
82	1.509790	0.142184	0.377322	0.927792	193	319	4.199219	41.718750	1
92	1.770083	0.038559	0.414800	1.027213	68	194	0.449219	11.718750	1
72	1.327706	0.104302	0.184884	1.171197	379	444	2.949219	31.718750	1
107	1.295846	0.075665	0.031309	1.442015	1	6	2.324219	16.718750	1
87	1.288677	0.103555	0.105834	1.137648	187	256	4.824219	36.718750	1
97	2.973734	0.108220	0.136584	2.555017	62	131	1.074219	26.718750	1
77	1.854181	0.204518	0.012537	2.115031	373	381	3.574219	46.718750	0
104	0.626767	0.048293	0.000000	0.916076	54	100	4.511719	14.218750	2
84	2.124726	0.133107	0.540251	1.021896	15	350	2.011719	34.218750	1
94	1.299281	0.107585	0.000000	1.902224	178	225	3.261719	24.218750	2
74	4.302042	0.194072	0.481004	2.260824	139	475	0.761719	44.218750	1
109	1.562581	0.119338	0.000000	2.323982	25	38	3.886719	29.218750	2
89	4.285999	0.186706	0.487329	2.242968	48	288	1.386719	49.218750	1
99	1.242805	0.080547	0.000000	1.778719	149	163	2.636719	19.218750	2
79	6.362070	0.045384	0.548248	2.878479	172	413	0.136719	39.218750	1
98	1.521697	0.177284	0.000000	2.507354	122	499	3.339844	28.593750	2
78	4.868699	0.151116	0.450497	2.688671	185	249	0.839844	48.593750	1
108	0.859912	0.073981	0.000000	1.370472	185	374	4.589844	18.593750	2
88	2.620620	0.153578	0.484849	1.359382	123	124	2.089844	38.593750	1
93	0.809428	0.044295	0.000000	1.253392	52	436	2.714844	13.593750	2
73	4.774498	0.056964	0.533386	2.230414	115	186	0.214844	33.593750	1
103	1.164823	0.105416	0.000000	1.922243	115	311	3.964844	23.593750	2
83	3.493040	0.185956	0.418348	1.980338	53	61	1.464844	43.593750	1
96	2.369101	0.055167	0.406777	1.438729	319	467	0.527344	16.093750	1
76	1.618154	0.117351	0.217076	1.301336	39	217	3.027344	36.093750	1
106	2.426428	0.148300	0.181324	1.970800	319	342	1.777344	26.093750	1
86	1.675907	0.224098	0.462120	0.914303	39	92	4.277344	46.093750	1
91	2.117306	0.101007	0.129605	1.843257	226	405	1.152344	21.093750	1
71	1.633444	0.203225	0.033033	1.602397	9	155	3.652344	41.093750	1
101	0.785088	0.063506	0.001102	0.863964	226	280	2.402344	11.093750	0
81	1.024274	0.090469	0.285705	0.794425	9	30	4.902344	31.093750	1
72	0.460274	0.052211	0.057639	0.418550	125	139	3.808594	12.343750	1
92	3.080618	0.150512	0.121151	2.692314	156	389	1.308594	32.343750	1
82	1.248646	0.101961	0.515856	0.622925	9	14	2.558594	22.343750	1
102	9.598478	0.031682	0.560084	4.219142	40	264	0.058594	42.343750	1
77	0.943484	0.122259	0.000000	1.172661	157	202	4.433594	27.343750	0
97	3.662666	0.129103	0.000000	4.462281	125	452	1.933594	47.343750	2
87	0.878787	0.022641	0.322412	0.598393	40	77	3.183594	17.343750	1
107	5.571618	0.111964	0.366455	3.520464	8	327	0.683594	37.343750	1
70	1.273738	0.119332	0.319231	0.860073	79	170	2.246094	24.843750	1
90	1.641340	0.191695	0.000000	3.267657	405	420	4.746094	44.843750	2
80	1.419550	0.058778	0.577776	0.606486	9	45	0.996094	14.843750	1
100	1.779357	0.124282	0.000880	2.182595	210	295	3.496094	34.843750	0
75	1.364855	0.047760	0.302290	0.930964	79	233	1.621094	19.843750	1
95	1.732558	0.147323	0.000000	3.463896	405	483	4.121094	39.843750	2
85	4.363029	0.089673	0.552473	1.949374	9	108	0.371094	29.843750	1
105	3.172036	0.230148	0.000000	3.853797	211	358	2.871094	49.843750	2
74	2.133249	0.114198	0.262828	1.562812	155	421	1.416016	29.921875	1
94	2.257629	0.232006	0.000000	4.685355	148	171	3.916016	49.921875	2
84	3.401020	0.027912	0.555214	1.494276	35	296	0.166016	19.921875	1
104	2.650725	0.237964	0.000947	3.391142	28	46	2.666016	39.921875	0
79	0.923556	0.057773	0.258299	0.682792	239	484	2.041016	14.921875	1
99	1.535860	0.113269	0.000000	3.097566	232	234	4.541016	34.921875	2
89	2.920994	0.079189	0.521200	1.358969	87	359	0.791016	24.921875	1
